No,Code,CompanyName,DateRecording,stocks,recordingboard
22,AKSI,Maming Enam Sembilan Mineral T,13 Jul 2001,720.000.000,Pengembangan
23,ALDO,Alkindo Naratama Tbk.,12 Jul 2011,1.100.000.000,Pengembangan
24,ALKA,Alakasa Industrindo Tbk,12 Jul 1990,507.665.055,Pengembangan
25,ALMI,Alumindo Light Metal Industry,02 Jan 1997,616.000.000,Pengembangan
26,ALTO,Tri Banyan Tirta Tbk.,10 Jul 2012,2.191.870.558,Utama
27,AMAG,Asuransi Multi Artha Guna Tbk.,23 Des 2005,5.001.552.516,Pengembangan
28,AMAN,Makmur Berkah Amanda Tbk.,13 Mar 2020,3.873.500.000,Utama
29,AMAR,Bank Amar Indonesia Tbk.,09 Jan 2020,7.954.749.000,Pengembangan
30,AMFG,Asahimas Flat Glass Tbk.,08 Nov 1995,434.000.000,Utama
31,AMIN,Ateliers Mecaniques D Indonesi,10 Des 2015,1.080.000.000,Pengembangan
32,AMOR,Ashmore Asset Management Indon,14 Jan 2020,1.111.111.200,Pengembangan
33,AMRT,Sumber Alfaria Trijaya Tbk.,15 Jan 2009,41.524.501.700,Utama
34,ANDI,Andira Agro Tbk.,16 Ags 2018,9.350.000.000,Pengembangan
35,ANJT,Austindo Nusantara Jaya Tbk.,08 Mei 2013,3.354.175.000,Utama
36,ANTM,Aneka Tambang Tbk.,27 Nov 1997,24.030.764.725,Utama
37,APEX,Apexindo Pratama Duta Tbk.,10 Jul 2002,2.659.850.000,Pengembangan
38,APIC,Pacific Strategic Financial Tb,18 Des 2002,11.766.313.488,Pengembangan
39,APII,Arita Prima Indonesia Tbk.,29 Okt 2013,1.075.760.000,Pengembangan
40,APLI,Asiaplast Industries Tbk.,01 Mei 2000,1.362.671.400,Utama
41,APLN,Agung Podomoro Land Tbk.,11 Nov 2010,22.699.326.779,Utama
42,ARGO,Argo Pantes Tbk,07 Jan 1991,335.557.450,Pengembangan
43,ARII,Atlas Resources Tbk.,08 Nov 2011,3.000.000.000,Pengembangan
44,ARKA,Arkha Jayanti Persada Tbk.,10 Jul 2019,2.000.000.000,Pengembangan
45,ARMY,Armidian Karyatama Tbk.,21 Jun 2017,9.006.250.000,Pengembangan
46,ARNA,Arwana Citramulia Tbk.,17 Jul 2001,7.341.430.976,Utama
47,ARTA,Arthavest Tbk,05 Nov 2002,446.674.175,Pengembangan
48,ARTI,Ratu Prabu Energi Tbk,30 Apr 2003,7.840.000.000,Utama
49,ARTO,Bank Jago Tbk.,12 Jan 2016,10.747.687.500,Pengembangan
50,ASBI,Asuransi Bintang Tbk.,29 Nov 1989,348.386.472,Pengembangan
51,ASDM,Asuransi Dayin Mitra Tbk.,15 Des 1989,192.000.000,Utama
52,ASGR,Astra Graphia Tbk.,15 Nov 1989,1.348.780.500,Utama
53,ASII,Astra International Tbk.,04 Apr 1990,40.483.553.140,Utama
54,ASJT,Asuransi Jasa Tania Tbk.,29 Des 2003,600.000.000,Pengembangan
55,ASMI,Asuransi Kresna Mitra Tbk.,16 Jan 2014,8.958.380.460,Utama
56,ASPI,Andalan Sakti Primaindo Tbk.,17 Feb 2020,681.792.805,Pengembangan
57,ASRI,Alam Sutera Realty Tbk.,18 Des 2007,19.649.411.888,Utama
58,ASRM,Asuransi Ramayana Tbk.,19 Mar 1990,304.283.840,Pengembangan
59,ASSA,Adi Sarana Armada Tbk.,12 Nov 2012,3.397.500.000,Utama
60,ATAP,Trimitra Prawara Goldland Tbk.,11 Des 2020,1.250.000.000,Pengembangan
61,ATIC,Anabatic Technologies Tbk.,08 Jul 2015,2.315.361.355,Utama
